Source,Target,Weight
"""algebraic geometry""","""convex analysis""",1
"""calculus of variations""","""convex analysis""",1
"""coding theory""","""convex analysis""",1
"""combinatorial topology""","""convex analysis""",1
"""geometry""","""convex analysis""",3
"""linear programming""","""convex analysis""",3
"""mathematical logic""","""convex analysis""",1
"""matrix theory""","""convex analysis""",1
"""potential theory""","""convex analysis""",1
"""topology""","""convex analysis""",1
"""algebra""","""convex geometry""",1
"""applied mathematics""","""convex geometry""",1
"""complex analysis""","""convex geometry""",1
"""decision theory""","""convex geometry""",1
"""game theory""","""convex geometry""",1
"""linear programming""","""convex geometry""",1
"""mathematical statistics""","""convex geometry""",1
"""probability theory""","""convex geometry""",2
"""sampling theory""","""convex geometry""",1
"""statistical theory""","""convex geometry""",1
"""statistics""","""convex geometry""",2
"""stochastic process""","""convex geometry""",1
"""abstract algebra""","""cryptography""",1
"""algebraic number theory""","""cryptography""",1
"""calculus of variations""","""cryptography""",1
"""character theory""","""cryptography""",1
"""coding theory""","""cryptography""",2
"""combinatorial analysis""","""cryptography""",1
"""computability theory""","""cryptography""",1
"""differential geometry""","""cryptography""",1
"""discrete geometry""","""cryptography""",1
"""discrete mathematics""","""cryptography""",1
"""elementary mathematics""","""cryptography""",1
"""enumerative combinatorics""","""cryptography""",1
"""experimental mathematics""","""cryptography""",3
"""field theory""","""cryptography""",1
"""finite geometry""","""cryptography""",1
"""general topology""","""cryptography""",1
"""geometric analysis""","""cryptography""",1
"""geometry of numbers""","""cryptography""",1
"""group theory""","""cryptography""",2
"""mathematical statistics""","""cryptography""",1
"""modular representation theory""","""cryptography""",1
"""precalculus""","""cryptography""",1
"""pure mathematics""","""cryptography""",1
"""real algebra""","""cryptography""",1
"""real algebraic geometry""","""cryptography""",1
"""real analysis""","""cryptography""",2
"""representation theory""","""cryptography""",1
"""spectral theory""","""cryptography""",1
"""theoretical physics""","""cryptography""",1
"""algebra""","""decision analysis""",1
"""applied mathematics""","""decision analysis""",1
"""game theory""","""decision analysis""",1
"""group theory""","""decision analysis""",1
"""linear programming""","""decision analysis""",1
"""representation theory""","""decision analysis""",1
"""ring theory""","""decision analysis""",1
"""statistics""","""decision analysis""",1
"""chaos theory""","""decision theory""",1
"""complex analysis""","""decision theory""",1
"""convex geometry""","""decision theory""",1
"""differential geometry""","""decision theory""",1
"""fractal geometry""","""decision theory""",1
"""game theory""","""decision theory""",3
"""mathematical finance""","""decision theory""",1
"""mathematical psychology""","""decision theory""",1
"""probability theory""","""decision theory""",1
"""sampling theory""","""decision theory""",2
"""stochastic process""","""decision theory""",1
"""topology""","""decision theory""",1
"""algebraic analysis""","""differential calculus""",1
"""algebraic geometry""","""differential calculus""",2
"""algebraic number theory""","""differential calculus""",1
"""class field theory""","""differential calculus""",1
"""combinatorial group theory""","""differential calculus""",1
"""functional analysis""","""differential calculus""",1
"""homology theory""","""differential calculus""",1
"""ideal theory""","""differential calculus""",1
"""modern algebra""","""differential calculus""",2
"""precalculus""","""differential calculus""",1
"""projective geometry""","""differential calculus""",2
"""solid geometry""","""differential calculus""",1
"""affine geometry""","""differential geometry""",2
"""arithmetic topology""","""differential geometry""",1
"""axiomatic set theory""","""differential geometry""",1
"""categorical logic""","""differential geometry""",1
"""category theory""","""differential geometry""",1
"""classical analysis""","""differential geometry""",1
"""complex differential geometry""","""differential geometry""",1
"""computational mathematics""","""differential geometry""",1
"""cryptography""","""differential geometry""",1
"""decision theory""","""differential geometry""",1
"""diophantine geometry""","""differential geometry""",2
"""dynamical systems theory""","""differential geometry""",1
"""homological algebra""","""differential geometry""",1
"""ideal theory""","""differential geometry""",1
"""inversive geometry""","""differential geometry""",1
"""linear functional analysis""","""differential geometry""",2
"""mathematical finance""","""differential geometry""",2
"""multivariable calculus""","""differential geometry""",1
"""nonlinear analysis""","""differential geometry""",1
"""nonlinear functional analysis""","""differential geometry""",1
"""perturbation theory""","""differential geometry""",1
"""precalculus""","""differential geometry""",1
"""real algebraic geometry""","""differential geometry""",1
"""statistical theory""","""differential geometry""",1
"""stochastic calculus""","""differential geometry""",1
"""symplectic topology""","""differential geometry""",2
"""synthetic differential geometry""","""differential geometry""",2
"""topos theory""","""differential geometry""",1
"""transcendental number theory""","""differential geometry""",1
"""affine differential geometry""","""differential geometry of surfaces""",1
"""algebraic geometry""","""differential topology""",2
"""arithmetic""","""differential topology""",1
"""complex algebraic geometry""","""differential topology""",1
"""dynamical systems theory""","""differential topology""",1
"""group theory""","""differential topology""",1
"""mathematical economics""","""differential topology""",1
"""non-standard analysis""","""differential topology""",1
"""pure mathematics""","""differential topology""",1
"""statistics""","""differential topology""",1
"""abstract algebra""","""diophantine geometry""",1
"""algebraic geometry""","""diophantine geometry""",2
"""analysis""","""diophantine geometry""",1
"""arithmetic""","""diophantine geometry""",1
"""arithmetic topology""","""diophantine geometry""",1
"""calculus""","""diophantine geometry""",1
"""complex geometry""","""diophantine geometry""",1
"""differential geometry""","""diophantine geometry""",2
"""functional analysis""","""diophantine geometry""",1
"""hyperbolic geometry""","""diophantine geometry""",1
"""linear algebra""","""diophantine geometry""",1
"""mathematical logic""","""diophantine geometry""",1
"""mathematical physics""","""diophantine geometry""",1
"""theoretical physics""","""diophantine geometry""",1
"""topology""","""diophantine geometry""",1
"""transcendental number theory""","""diophantine geometry""",1
"""algebra""","""discrepancy theory""",1
"""analytic number theory""","""discrepancy theory""",1
"""arithmetic""","""discrepancy theory""",1
"""arithmetic combinatorics""","""discrepancy theory""",1
"""combinatorics""","""discrepancy theory""",1
"""number theory""","""discrepancy theory""",1
"""pure mathematics""","""discrepancy theory""",1
"""sieve theory""","""discrepancy theory""",1
"""algebraic geometry""","""discrete geometry""",1
"""cryptography""","""discrete geometry""",1
"""geometric number theory""","""discrete geometry""",1
"""graph theory""","""discrete geometry""",1
"""linear programming""","""discrete geometry""",1
"""polyhedral combinatorics""","""discrete geometry""",1
"""abstract algebra""","""discrete mathematics""",1
"""classical geometry""","""discrete mathematics""",1
"""coding theory""","""discrete mathematics""",1
"""combinatorial number theory""","""discrete mathematics""",1
"""combinatorial topology""","""discrete mathematics""",1
"""computational geometry""","""discrete mathematics""",1
"""cryptography""","""discrete mathematics""",1
"""elementary mathematics""","""discrete mathematics""",1
"""enumerative combinatorics""","""discrete mathematics""",1
"""experimental mathematics""","""discrete mathematics""",1
"""finite geometry""","""discrete mathematics""",1
"""group theory""","""discrete mathematics""",1
"""job shop scheduling""","""discrete mathematics""",1
"""lattice theory""","""discrete mathematics""",1
"""mathematical logic""","""discrete mathematics""",2
"""matroid theory""","""discrete mathematics""",1
"""precalculus""","""discrete mathematics""",1
"""real analysis""","""discrete mathematics""",1
"""statistics""","""discrete mathematics""",3
"""calculus""","""dynamical systems theory""",1
"""catastrophe theory""","""dynamical systems theory""",1
"""differential geometry""","""dynamical systems theory""",1
"""differential topology""","""dynamical systems theory""",1
"""geometric analysis""","""dynamical systems theory""",1
"""mathematical sciences""","""dynamical systems theory""",1
"""non-standard analysis""","""dynamical systems theory""",1
"""projective geometry""","""dynamical systems theory""",1
"""real algebra""","""dynamical systems theory""",1
"""real algebraic geometry""","""dynamical systems theory""",1
"""singularity theory""","""dynamical systems theory""",1
"""statistical mechanics""","""dynamical systems theory""",1
"""symplectic geometry""","""dynamical systems theory""",1
"""symplectic topology""","""dynamical systems theory""",1
"""biostatistics""","""econometrics""",1
"""calculus""","""econometrics""",1
"""epidemiology""","""econometrics""",1
"""game theory""","""econometrics""",1
"""abstract algebra""","""elementary algebra""",1
"""affine geometry""","""elementary algebra""",1
"""axiomatic set theory""","""elementary algebra""",1
"""geometry""","""elementary algebra""",1
"""lattice theory""","""elementary algebra""",1
"""mathematical logic""","""elementary algebra""",1
"""measure theory""","""elementary algebra""",1
"""model theory""","""elementary algebra""",1
"""order theory""","""elementary algebra""",1
"""projective geometry""","""elementary algebra""",1
"""set theory""","""elementary algebra""",1
"""solid geometry""","""elementary algebra""",1
"""topology""","""elementary algebra""",1
"""type theory""","""elementary algebra""",1
"""abstract algebra""","""elementary mathematics""",1
"""coding theory""","""elementary mathematics""",1
"""combinatorial geometry""","""elementary mathematics""",1
"""combinatorics""","""elementary mathematics""",2
"""cryptography""","""elementary mathematics""",1
"""discrete mathematics""","""elementary mathematics""",1
"""enumerative combinatorics""","""elementary mathematics""",1
"""euclidean geometry""","""elementary mathematics""",1
"""experimental mathematics""","""elementary mathematics""",1
"""finite geometry""","""elementary mathematics""",1
"""functional calculus""","""elementary mathematics""",1
"""general topology""","""elementary mathematics""",1
"""model theory""","""elementary mathematics""",1
"""modern algebra""","""elementary mathematics""",1
"""numerical analysis""","""elementary mathematics""",1
"""precalculus""","""elementary mathematics""",1
"""real analysis""","""elementary mathematics""",1
"""recreational mathematics""","""elementary mathematics""",1
"""type theory""","""elementary mathematics""",1
"""abstract algebra""","""enumerative combinatorics""",1
"""calculus""","""enumerative combinatorics""",1
"""coding theory""","""enumerative combinatorics""",1
"""cryptography""","""enumerative combinatorics""",1
"""discrete mathematics""","""enumerative combinatorics""",1
"""elementary mathematics""","""enumerative combinatorics""",1
"""experimental mathematics""","""enumerative combinatorics""",1
"""finite geometry""","""enumerative combinatorics""",1
"""geometry""","""enumerative combinatorics""",1
"""precalculus""","""enumerative combinatorics""",1
"""real analysis""","""enumerative combinatorics""",1
"""statistics""","""enumerative combinatorics""",1
"""topology""","""enumerative combinatorics""",1
"""bifurcation theory""","""epidemiology""",1
"""biostatistics""","""epidemiology""",3
"""econometrics""","""epidemiology""",1
"""numerical analysis""","""epidemiology""",1
"""stochastic process""","""epidemiology""",1
"""analytic number theory""","""ergodic theory""",2
"""arithmetic""","""ergodic theory""",2
"""coding theory""","""ergodic theory""",2
"""geometric topology""","""ergodic theory""",1
"""hard analysis""","""ergodic theory""",1
"""mathematical statistics""","""ergodic theory""",2
"""noncommutative geometry""","""ergodic theory""",1
"""representation theory""","""ergodic theory""",2
"""statistical mechanics""","""ergodic theory""",1
"""stochastic process""","""ergodic theory""",2
"""tensor""","""ergodic theory""",1
"""affine geometry""","""euclidean geometry""",1
"""combinatorial geometry""","""euclidean geometry""",1
"""combinatorics""","""euclidean geometry""",1
"""elementary mathematics""","""euclidean geometry""",1
"""inversive geometry""","""euclidean geometry""",1
"""probability theory""","""euclidean geometry""",1
"""recreational mathematics""","""euclidean geometry""",1
"""abstract algebra""","""experimental mathematics""",1
"""calculus""","""experimental mathematics""",1
"""coding theory""","""experimental mathematics""",1
"""computability theory""","""experimental mathematics""",1
"""computational number theory""","""experimental mathematics""",1
"""cryptography""","""experimental mathematics""",3
"""discrete mathematics""","""experimental mathematics""",1
"""elementary mathematics""","""experimental mathematics""",1
"""enumerative combinatorics""","""experimental mathematics""",1
"""finite geometry""","""experimental mathematics""",1
"""fractal geometry""","""experimental mathematics""",1
"""geometry""","""experimental mathematics""",2
"""precalculus""","""experimental mathematics""",1
"""real analysis""","""experimental mathematics""",1
"""theoretical physics""","""experimental mathematics""",1
"""algebra""","""extraordinary cohomology theory""",1
"""algebraic topology""","""extraordinary cohomology theory""",1
"""analysis""","""extraordinary cohomology theory""",1
"""cohomology theory""","""extraordinary cohomology theory""",1
"""homology theory""","""extraordinary cohomology theory""",1
"""homotopy theory""","""extraordinary cohomology theory""",1
"""topology""","""extraordinary cohomology theory""",1
"""topology""","""extremal graph theory""",1
"""anabelian geometry""","""field theory""",1
"""arithmetic topology""","""field theory""",1
"""classical projective geometry""","""field theory""",1
"""cobordism theory""","""field theory""",1
"""combinatorics""","""field theory""",1
"""complex geometry""","""field theory""",1
"""cryptography""","""field theory""",1
"""geometric invariant theory""","""field theory""",1
"""hyperbolic geometry""","""field theory""",1
"""linear functional analysis""","""field theory""",1
"""mathematical biology""","""field theory""",1
"""non-standard analysis""","""field theory""",1
"""noncommutative geometry""","""field theory""",1
"""nonlinear analysis""","""field theory""",1
"""numerical analysis""","""field theory""",1
"""numerical linear algebra""","""field theory""",1
"""p-adic analysis""","""field theory""",1
"""precalculus""","""field theory""",1
"""real analysis""","""field theory""",1
"""stochastic process""","""field theory""",2
"""transcendental number theory""","""field theory""",1
"""calculus""","""finite geometry""",1
"""coding theory""","""finite geometry""",1
"""cryptography""","""finite geometry""",1
"""discrete mathematics""","""finite geometry""",1
"""elementary mathematics""","""finite geometry""",1
"""enumerative combinatorics""","""finite geometry""",1
"""experimental mathematics""","""finite geometry""",1
"""precalculus""","""finite geometry""",1
"""real analysis""","""finite geometry""",1
"""statistics""","""finite geometry""",1
"""chaos theory""","""fractal geometry""",2
"""decision theory""","""fractal geometry""",1
"""experimental mathematics""","""fractal geometry""",1
"""mathematical economics""","""fractal geometry""",1
"""absolute differential calculus""","""function theory""",1
"""category theory""","""function theory""",1
"""coding theory""","""function theory""",1
"""cohomology theory""","""function theory""",1
"""combinatorial game theory""","""function theory""",1
"""combinatorial group theory""","""function theory""",1
"""combinatorial theory""","""function theory""",1
"""conformal geometry""","""function theory""",1
"""game theory""","""function theory""",1
"""harmonic analysis""","""function theory""",4
"""homological algebra""","""function theory""",1
"""homology theory""","""function theory""",1
"""hyperfunction theory""","""function theory""",1
"""knot theory""","""function theory""",1
"""microlocal analysis""","""function theory""",2
"""modern algebra""","""function theory""",1
"""module theory""","""function theory""",1
"""recreational mathematics""","""function theory""",1
"""sheaf theory""","""function theory""",1
"""tessellation""","""function theory""",1
"""anabelian geometry""","""functional analysis""",1
"""analytic geometry""","""functional analysis""",1
"""arithmetic geometry""","""functional analysis""",1
"""birational geometry""","""functional analysis""",1
"""categorical logic""","""functional analysis""",2
"""cohomology theory""","""functional analysis""",1
"""combinatorial topology""","""functional analysis""",1
"""complex geometry""","""functional analysis""",1
"""differential calculus""","""functional analysis""",1
"""diophantine geometry""","""functional analysis""",1
"""geometric analysis""","""functional analysis""",1
"""homological algebra""","""functional analysis""",1
"""homology theory""","""functional analysis""",1
"""homotopy theory""","""functional analysis""",1
"""infinitesimal calculus""","""functional analysis""",1
"""intersection theory""","""functional analysis""",1
"""matrix theory""","""functional analysis""",1
"""modern algebra""","""functional analysis""",1
"""modern algebraic geometry""","""functional analysis""",1
"""perturbation theory""","""functional analysis""",1
"""point-set topology""","""functional analysis""",1
"""rational geometry""","""functional analysis""",1
"""sheaf theory""","""functional analysis""",3
"""sheaf cohomology""","""functional analysis""",1
"""synthetic differential geometry""","""functional analysis""",1
"""tensor""","""functional analysis""",2
"""topos theory""","""functional analysis""",2
"""transcendental number theory""","""functional analysis""",1
"""computational mathematics""","""functional analysis""",2
"""gauge theory""","""functional analysis""",1
"""partition theory""","""functional analysis""",1
"""representation theory of the symmetric group""","""functional analysis""",1
"""umbral calculus""","""functional analysis""",1
"""algebra""","""functional calculus""",2
"""elementary mathematics""","""functional calculus""",1
"""general topology""","""functional calculus""",1
"""model theory""","""functional calculus""",2
"""modern algebra""","""functional calculus""",1
"""numerical analysis""","""functional calculus""",1
"""topology""","""functional calculus""",1
"""analysis""","""fuzzy mathematics""",1
"""arithmetic""","""fuzzy mathematics""",1
"""calculus""","""fuzzy mathematics""",1
"""fuzzy set theory""","""fuzzy mathematics""",1
"""set theory""","""fuzzy mathematics""",1
"""analysis""","""fuzzy set theory""",1
"""arithmetic""","""fuzzy set theory""",1
"""calculus""","""fuzzy set theory""",1
"""fuzzy mathematics""","""fuzzy set theory""",1
"""set theory""","""fuzzy set theory""",2
"""analytic number theory""","""game theory""",1
"""coding theory""","""game theory""",4
"""combinatorial analysis""","""game theory""",1
"""combinatorial group theory""","""game theory""",1
"""combinatorial topology""","""game theory""",1
"""complex geometry""","""game theory""",1
"""convex geometry""","""game theory""",1
"""decision analysis""","""game theory""",1
"""decision theory""","""game theory""",3
"""econometrics""","""game theory""",1
"""function theory""","""game theory""",1
"""geometric analysis""","""game theory""",2
"""group theory""","""game theory""",1
"""harmonic analysis""","""game theory""",1
"""mathematical biology""","""game theory""",1
"""mathematical finance""","""game theory""",1
"""mathematical optimization""","""game theory""",1
"""mathematical sciences""","""game theory""",1
"""matrix theory""","""game theory""",1
"""nonlinear analysis""","""game theory""",1
"""perturbation theory""","""game theory""",1
"""potential theory""","""game theory""",1
"""real algebra""","""game theory""",1
"""real algebraic geometry""","""game theory""",1
"""sampling theory""","""game theory""",1
"""spectral theory""","""game theory""",1
"""stochastic process""","""game theory""",4
"""algebraic number theory""","""gauge theory""",1
"""algebraic topology""","""gauge theory""",3
"""catastrophe theory""","""gauge theory""",1
"""classical projective geometry""","""gauge theory""",1
"""cobordism theory""","""gauge theory""",2
"""commutative algebra""","""gauge theory""",1
"""functional analysis""","""gauge theory""",1
"""geometric invariant theory""","""gauge theory""",1
"""homotopy theory""","""gauge theory""",1
"""linear functional analysis""","""gauge theory""",1
"""projective geometry""","""gauge theory""",1
"""singularity theory""","""gauge theory""",1
"""arithmetic""","""general topology""",1
"""constructive mathematics""","""general topology""",1
"""cryptography""","""general topology""",1
"""elementary mathematics""","""general topology""",1
"""functional calculus""","""general topology""",1
"""hyperbolic geometry""","""general topology""",1
"""linear algebra""","""general topology""",1
"""numerical analysis""","""general topology""",1
"""proof theory""","""general topology""",1
"""pure mathematics""","""general topology""",1
"""type theory""","""general topology""",1
"""algebra""","""geometric analysis""",4
"""algebraic geometry""","""geometric analysis""",2
"""arithmetic""","""geometric analysis""",1
"""calculus""","""geometric analysis""",7
"""calculus of variations""","""geometric analysis""",5
"""catastrophe theory""","""geometric analysis""",1
"""classical analysis""","""geometric analysis""",1
"""complex analysis""","""geometric analysis""",1
"""complex geometry""","""geometric analysis""",1
"""cryptography""","""geometric analysis""",1
"""dynamical systems theory""","""geometric analysis""",1
"""functional analysis""","""geometric analysis""",1
"""game theory""","""geometric analysis""",2
"""geometric measure theory""","""geometric analysis""",2
"""harmonic analysis""","""geometric analysis""",1
"""linear algebra""","""geometric analysis""",1
"""linear functional analysis""","""geometric analysis""",1
"""mathematical physics""","""geometric analysis""",1
"""mathematical sciences""","""geometric analysis""",1
"""measure theory""","""geometric analysis""",2
"""multilinear algebra""","""geometric analysis""",1
"""nonlinear analysis""","""geometric analysis""",1
"""nonlinear functional analysis""","""geometric analysis""",1
"""perturbation theory""","""geometric analysis""",1
"""projective geometry""","""geometric analysis""",1
"""pure mathematics""","""geometric analysis""",1
"""real algebra""","""geometric analysis""",2
"""real algebraic geometry""","""geometric analysis""",2
"""set theory""","""geometric analysis""",1
"""singularity theory""","""geometric analysis""",1
"""spectral theory""","""geometric analysis""",1
"""statistical mechanics""","""geometric analysis""",1
"""symplectic topology""","""geometric analysis""",1
"""algebra""","""geometric combinatorics""",1
"""analysis""","""geometric combinatorics""",1
"""conformal geometry""","""geometric function theory""",1
"""algebra""","""geometric invariant theory""",1
"""algebraic geometry""","""geometric invariant theory""",1
"""algebraic topology""","""geometric invariant theory""",1
"""classical projective geometry""","""geometric invariant theory""",1
"""cobordism theory""","""geometric invariant theory""",1
"""cohomology theory""","""geometric invariant theory""",1
"""commutative algebra""","""geometric invariant theory""",1
"""field theory""","""geometric invariant theory""",1
"""gauge theory""","""geometric invariant theory""",1
"""geometry""","""geometric invariant theory""",1
"""homology theory""","""geometric invariant theory""",1
"""invariant theory""","""geometric invariant theory""",1
"""projective geometry""","""geometric invariant theory""",1
"""ring theory""","""geometric invariant theory""",1
"""theoretical physics""","""geometric invariant theory""",1
"""topology""","""geometric invariant theory""",1
"""geometric topology""","""geometric group theory""",1
"""low-dimensional topology""","""geometric group theory""",1
"""applied mathematics""","""geometric measure theory""",1
"""calculus""","""geometric measure theory""",3
"""calculus of variations""","""geometric measure theory""",2
"""classical analysis""","""geometric measure theory""",1
"""geometric analysis""","""geometric measure theory""",2
"""linear algebra""","""geometric measure theory""",1
"""linear functional analysis""","""geometric measure theory""",1
"""mathematical physics""","""geometric measure theory""",1
"""mathematical sciences""","""geometric measure theory""",1
"""multilinear algebra""","""geometric measure theory""",1
"""nonlinear functional analysis""","""geometric measure theory""",1
"""discrete geometry""","""geometric number theory""",1
"""geometry""","""geometric number theory""",1
"""geometry of numbers""","""geometric number theory""",1
"""number theory""","""geometric number theory""",1
"""catastrophe theory""","""geometric topology""",1
"""combinatorial group theory""","""geometric topology""",1
"""ergodic theory""","""geometric topology""",1
"""geometric group theory""","""geometric topology""",1
"""knot theory""","""geometric topology""",3
"""low-dimensional topology""","""geometric topology""",1
"""singularity theory""","""geometric topology""",1
"""surgery theory""","""geometric topology""",1
"""anabelian geometry""","""geometry""",2
"""arithmetic algebraic geometry""","""geometry""",2
"""arithmetic topology""","""geometry""",1
"""arithmetical algebraic geometry""","""geometry""",1
"""catastrophe theory""","""geometry""",1
"""categorical logic""","""geometry""",2
"""character theory""","""geometry""",1
"""classical analytic number theory""","""geometry""",1
"""classical projective geometry""","""geometry""",1
"""coding theory""","""geometry""",3
"""complex algebraic geometry""","""geometry""",1
"""complex differential geometry""","""geometry""",1
"""complex dynamics""","""geometry""",1
"""complexity theory""","""geometry""",2
"""computational mathematics""","""geometry""",1
"""convex analysis""","""geometry""",3
"""elementary algebra""","""geometry""",1
"""enumerative combinatorics""","""geometry""",1
"""experimental mathematics""","""geometry""",2
"""geometric invariant theory""","""geometry""",1
"""geometric number theory""","""geometry""",1
"""hyperfunction theory""","""geometry""",1
"""inversive geometry""","""geometry""",1
"""job shop scheduling""","""geometry""",1
"""linear functional analysis""","""geometry""",4
"""local algebra""","""geometry""",1
"""low-dimensional topology""","""geometry""",3
"""mathematical finance""","""geometry""",2
"""matroid theory""","""geometry""",2
"""modern algebraic geometry""","""geometry""",1
"""modular representation theory""","""geometry""",1
"""module theory""","""geometry""",1
"""multivariable calculus""","""geometry""",1
"""noncommutative algebraic geometry""","""geometry""",1
"""noncommutative geometry""","""geometry""",3
"""nonlinear analysis""","""geometry""",3
"""nonlinear functional analysis""","""geometry""",3
"""numerical linear algebra""","""geometry""",1
"""polyhedral combinatorics""","""geometry""",1
"""precalculus""","""geometry""",2
"""sampling theory""","""geometry""",2
"""stochastic calculus""","""geometry""",2
"""stochastic geometry""","""geometry""",3
"""symplectic topology""","""geometry""",3
"""synthetic differential geometry""","""geometry""",2
"""topos theory""","""geometry""",2
"""wavelets""","""geometry""",1
"""abstract algebra""","""geometry of numbers""",1
"""algebraic geometry""","""geometry of numbers""",1
"""analytic number theory""","""geometry of numbers""",1
"""combinatorics""","""geometry of numbers""",2
"""cryptography""","""geometry of numbers""",1
"""geometric number theory""","""geometry of numbers""",1
"""graph theory""","""geometry of numbers""",1
"""linear programming""","""geometry of numbers""",1
"""polyhedral combinatorics""","""geometry of numbers""",1
"""arithmetic""","""global analysis""",1
"""mathematical economics""","""global analysis""",1
"""coding theory""","""graph theory""",1
"""combinatorial analysis""","""graph theory""",1
"""combinatorial number theory""","""graph theory""",1
"""combinatorial theory""","""graph theory""",2
"""combinatorial topology""","""graph theory""",1
"""computational geometry""","""graph theory""",1
"""discrete geometry""","""graph theory""",1
"""geometry of numbers""","""graph theory""",1
"""harmonic analysis""","""graph theory""",1
"""job shop scheduling""","""graph theory""",1
"""linear programming""","""graph theory""",2
"""matrix algebra""","""graph theory""",1
"""matrix theory""","""graph theory""",1
"""polyhedral combinatorics""","""graph theory""",1
"""set-theoretic topology""","""graph theory""",1
"""invariant theory""","""group representation theory""",1
"""modular representation theory""","""group representation theory""",1
"""representation theory of groups""","""group representation theory""",1
"""classical geometry""","""group theory""",1
"""coding theory""","""group theory""",1
"""combinatorial game theory""","""group theory""",1
"""combinatorial number theory""","""group theory""",1
"""complex algebraic geometry""","""group theory""",1
"""computability theory""","""group theory""",1
"""cryptography""","""group theory""",2
"""decision analysis""","""group theory""",1
"""differential topology""","""group theory""",1
"""discrete mathematics""","""group theory""",1
"""game theory""","""group theory""",1
"""homology theory""","""group theory""",1
"""incidence geometry""","""group theory""",1
"""local algebra""","""group theory""",1
"""low-dimensional topology""","""group theory""",1
"""mathematical economics""","""group theory""",1
"""polyhedral combinatorics""","""group theory""",1
"""sheaf theory""","""group theory""",1
"""valuation theory""","""group theory""",1
"""algebra""","""hard analysis""",1
"""ergodic theory""","""hard analysis""",1
"""probability theory""","""hard analysis""",1
"""complex geometry""","""harmonic analysis""",1
"""function theory""","""harmonic analysis""",4
"""game theory""","""harmonic analysis""",1
"""geometric analysis""","""harmonic analysis""",1
"""graph theory""","""harmonic analysis""",1
"""linear functional analysis""","""harmonic analysis""",1
"""mathematical finance""","""harmonic analysis""",1
"""microlocal analysis""","""harmonic analysis""",2
"""noncommutative algebra""","""harmonic analysis""",1
"""noncommutative algebraic geometry""","""harmonic analysis""",1
"""nonlinear analysis""","""harmonic analysis""",2
"""nonlinear functional analysis""","""harmonic analysis""",1
"""operator theory""","""harmonic analysis""",2
"""perturbation theory""","""harmonic analysis""",1
"""stochastic calculus""","""harmonic analysis""",1
"""symplectic geometry""","""harmonic analysis""",1
"""wavelets""","""harmonic analysis""",1
"""abstract algebra""","""homological algebra""",2
"""algebraic geometry""","""homological algebra""",2
"""algebraic number theory""","""homological algebra""",2
"""anabelian geometry""","""homological algebra""",1
"""arithmetic geometry""","""homological algebra""",1
"""birational geometry""","""homological algebra""",1
"""categorical logic""","""homological algebra""",1
"""cohomology theory""","""homological algebra""",1
"""complex analysis""","""homological algebra""",1
"""complex dynamics""","""homological algebra""",1
"""differential geometry""","""homological algebra""",1
"""function theory""","""homological algebra""",1
"""functional analysis""","""homological algebra""",1
"""homotopy theory""","""homological algebra""",4
"""intersection theory""","""homological algebra""",1
"""knot theory""","""homological algebra""",1
"""mathematical biology""","""homological algebra""",1
"""measure theory""","""homological algebra""",1
"""modern algebra""","""homological algebra""",1
"""modern algebraic geometry""","""homological algebra""",1
"""module theory""","""homological algebra""",1
"""point-set topology""","""homological algebra""",1
"""pure mathematics""","""homological algebra""",2
"""rational geometry""","""homological algebra""",1
"""representation theory""","""homological algebra""",3
"""ring theory""","""homological algebra""",1
"""tensor""","""homological algebra""",1
"""topos theory""","""homological algebra""",1
"""transcendental number theory""","""homological algebra""",1
"""valuation theory""","""homological algebra""",1
"""algebraic analysis""","""homology theory""",1
"""algebraic number theory""","""homology theory""",1
"""anabelian geometry""","""homology theory""",1
"""arithmetic""","""homology theory""",2
"""arithmetic geometry""","""homology theory""",1
"""birational geometry""","""homology theory""",1
"""categorical logic""","""homology theory""",1
"""classical projective geometry""","""homology theory""",1
"""cobordism theory""","""homology theory""",1
"""combinatorial group theory""","""homology theory""",1
"""commutative algebra""","""homology theory""",2
"""complex analysis""","""homology theory""",1
"""differential calculus""","""homology theory""",1
"""extraordinary cohomology theory""","""homology theory""",1
"""function theory""","""homology theory""",1
"""functional analysis""","""homology theory""",1
"""geometric invariant theory""","""homology theory""",1
"""group theory""","""homology theory""",1
"""homotopy theory""","""homology theory""",2
"""hyperfunction theory""","""homology theory""",1
"""intersection theory""","""homology theory""",1
"""linear algebra""","""homology theory""",1
"""microlocal analysis""","""homology theory""",1
"""modern algebraic geometry""","""homology theory""",1
"""module theory""","""homology theory""",1
"""point-set topology""","""homology theory""",1
"""projective geometry""","""homology theory""",1
"""pure mathematics""","""homology theory""",1
"""rational geometry""","""homology theory""",1
"""sheaf cohomology""","""homology theory""",1
"""theoretical physics""","""homology theory""",2
"""topos theory""","""homology theory""",1
"""algebraic number theory""","""homotopy theory""",2
"""anabelian geometry""","""homotopy theory""",1
"""analysis""","""homotopy theory""",2
"""arithmetic""","""homotopy theory""",1
"""arithmetic geometry""","""homotopy theory""",1
"""birational geometry""","""homotopy theory""",1
"""categorical logic""","""homotopy theory""",1
"""category theory""","""homotopy theory""",2
"""cohomology theory""","""homotopy theory""",2
"""commutative algebra""","""homotopy theory""",1
"""complex analysis""","""homotopy theory""",1
"""extraordinary cohomology theory""","""homotopy theory""",1
"""functional analysis""","""homotopy theory""",1
"""gauge theory""","""homotopy theory""",1
